Part;Value;Device;Package;Description;MPN
C4;9pF;C-EUC0805;C0805;CAPACITOR, European symbol;
C5;9pF;C-EUC0805;C0805;CAPACITOR, European symbol;
C1;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C2;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C3;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C6;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C7;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C8;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C9;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C10;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C12;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C13;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C14;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C15;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C16;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C17;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;
C11;47uF;CPOL-EU153CLV-0605;153CLV-0605;POLARIZED CAPACITOR, European symbol;SC1E476M6L005VR
R1;120R;R-EU_R0805;R0805;RESISTOR, European symbol;
R3;120R;R-EU_R0805;R0805;RESISTOR, European symbol;
R17;120R;R-EU_R0805;R0805;RESISTOR, European symbol;
R5;1K;R-EU_R0805;R0805;RESISTOR, European symbol;
R8;1K;R-EU_R0805;R0805;RESISTOR, European symbol;
R9;1K;R-EU_R0805;R0805;RESISTOR, European symbol;
R10;1K;R-EU_R0805;R0805;RESISTOR, European symbol;
R11;1K;R-EU_R0805;R0805;RESISTOR, European symbol;
R12;1K;R-EU_R0805;R0805;RESISTOR, European symbol;
R2;10K;R-EU_R0805;R0805;RESISTOR, European symbol;
R4;10K;R-EU_R0805;R0805;RESISTOR, European symbol;
R7;10K;R-EU_R0805;R0805;RESISTOR, European symbol;
R13;10K;R-EU_R0805;R0805;RESISTOR, European symbol;
R14;10K;R-EU_R0805;R0805;RESISTOR, European symbol;
R15;10K;R-EU_R0805;R0805;RESISTOR, European symbol;
R16;10K;R-EU_R0805;R0805;RESISTOR, European symbol;
R18;10K;R-EU_R0805;R0805;RESISTOR, European symbol;
R19;10K;R-EU_R0805;R0805;RESISTOR, European symbol;
IC6;FT232RL;FT232RL;SSOP28;;FT232RL
IC7;74HC00D;74HC00D;SO14;Quad 2-input NAND gate;SN74HC00DR
IC8;74HC139D;74HC139D;SO16;Dual 2-line to 4-line DECODER/DEMULTIPLEXER;SN74HC139DR
FS1;;POLYFUSE_1210;1210;;SM010-60
IC12;USBLC6-4;USBLC6-4;SOT23-6;SHOTTKY DIODE;USBLC6
IC1;USBLC6-4;USBLC6-4;SOT23-6;SHOTTKY DIODE;USBLC6
IC2;RS422-SO8;RS422-SO8;SO08;RS485 TRANSEIVER;DS8921AMX/NOPB
IC3;RS422-SO8;RS422-SO8;SO08;RS485 TRANSEIVER;DS8921AMX/NOPB
IC4;RS422-SO8;RS422-SO8;SO08;RS485 TRANSEIVER;DS8921AMX/NOPB
IC9;RS422-SO8;RS422-SO8;SO08;RS485 TRANSEIVER;DS8921AMX/NOPB
IC10;RS422-SO8;RS422-SO8;SO08;RS485 TRANSEIVER;DS8921AMX/NOPB
IC11;RS422-SO8;RS422-SO8;SO08;RS485 TRANSEIVER;DS8921AMX/NOPB
IC13;;ATMEGA48/88/168/328-AU;TQFP32-08;;
IC14;741G157;741G157;SOT457W_PHILIPS;;74LVC1G157GV.125
LED_PWR;;LEDSML0805;SML0805;LED;
LED_RX;;LEDSML0805;SML0805;LED;
LED_TX;;LEDSML0805;SML0805;LED;
Q1;16MHz;RESONATOR_CRY;CRYSTAL-3.2X2.5;;3225-16M-SR
S1;SWS006;SWS006;SMS-006;SMD Dip Switch 6 pol.;A6S-6102-H
USB;USB_AB-B_SMD;USB_AB-B_SMD;USB_B_SMD;;USBB-G-SMD
